t,real_count,mean_estimate,sigma,sigma_theory
1,9729,9730.08,16.5393,28.0015
2,19356,19354.9,15.447,55.7094
3,28972,28963.3,50.9313,83.3856
4,38554,38555.2,75.99,110.964
5,48117,48139.8,102.15,138.488
6,57679,57689.2,113.006,166.009
7,67228,67262.9,182.06,193.492
8,76711,76746.3,241.643,220.785
9,86199,86217.6,291.73,248.093
10,95688,95728.1,296.003,275.404
11,105119,105158,349.46,302.548
12,114598,114577,414.067,329.83
13,124083,124026,501.592,357.129
14,133506,133461,439.381,384.25
15,142921,142835,433.675,411.347
16,152365,152283,431.366,438.529
17,161753,161693,472.711,465.549
18,171170,171150,499.603,492.652
19,180550,180467,553.473,519.649
20,189958,189888,590.543,546.727
21,199364,199271,633.178,573.799
22,208755,208771,682.546,600.827
23,218125,218177,771.154,627.796
24,227509,227577,792.212,654.804
25,236846,237093,857.646,681.677
26,246184,246399,804.275,708.553
27,255542,255684,780.73,735.487
28,264924,265120,734.325,762.49
29,274278,274416,715.837,789.412
30,283601,283533,719.132,816.245
31,292944,292941,767.725,843.135
32,302269,302348,765.539,869.974
33,311620,311929,677.055,896.888
34,320983,329596,494.908,923.836
35,330314,338100,607.867,950.692
36,339629,346754,585.744,977.502
37,348980,355445,651.11,1004.42
38,358325,364160,732.306,1031.31
39,367659,372935,639.109,1058.18
40,377017,381734,666.274,1085.11
41,386362,390581,669.437,1112.01
42,395688,399533,675.899,1138.85
43,404981,408499,679.212,1165.59
44,414272,417372,550.773,1192.34
45,423605,426389,621.347,1219.2
46,432939,435495,728.802,1246.06
47,442241,444580,728.603,1272.83
48,451551,453522,631.005,1299.63
49,460889,462691,741.416,1326.51
50,470157,471923,821.75,1353.18
51,479470,481044,835.604,1379.98
52,488790,490129,953.895,1406.81
53,498125,499225,899.327,1433.68
54,507438,508534,1101.8,1460.48
55,516683,517569,1095.24,1487.09
56,526021,526740,1128.32,1513.97
57,535337,536085,1128.69,1540.78
58,544689,545419,1189.55,1567.69
59,553973,554541,1127.13,1594.41
60,563264,563875,1233.03,1621.16
61,572560,573016,1181.78,1647.91
62,581890,582163,1110.05,1674.76
63,591192,591413,1162.71,1701.54
64,600498,600590,1173.02,1728.32
65,609811,609779,1284.15,1755.12
66,619111,619138,1366.1,1781.89
67,628364,628358,1444.77,1808.52
68,637666,637723,1570.53,1835.3
69,647009,646973,1709.57,1862.19
70,656330,656233,1626.57,1889.01
71,665647,665458,1678.47,1915.83
72,674985,674681,1803.21,1942.71
73,684311,683923,1759.63,1969.55
74,693610,693273,1629.48,1996.31
75,702904,702632,1614.17,2023.06
76,712197,711968,1627.18,2049.81
77,721538,721288,1759.23,2076.69
78,730856,730567,1956.21,2103.51
79,740139,739889,2072.89,2130.23
80,749364,749244,2117.42,2156.78
81,758708,758429,1942.88,2183.67
82,768015,767850,1776.91,2210.46
83,777316,777065,1625.79,2237.23
84,786643,786582,1788.19,2264.07
85,795952,795802,1640.15,2290.87
86,805257,804972,1705.1,2317.65
87,814549,814283,1572.96,2344.39
88,823821,823491,1710.73,2371.08
89,833128,832691,1827.71,2397.86
90,842425,841860,1872.86,2424.62
91,851707,851062,2056.03,2451.34
92,861002,860310,2211.74,2478.09
93,870277,869788,2060.83,2504.78
94,879556,879056,2204.54,2531.49
95,888901,888424,2267.3,2558.39
96,898199,897954,2299.49,2585.15
97,907490,907337,2459.38,2611.89
98,916761,916654,2583.04,2638.57
99,926009,925864,2335.39,2665.19
100,935312,935061,2174.29,2691.96